sku,desc,wholesale_cost
"DLI0002","Smoked Whitefish Sandwich",9.33
"PET0005","Vegan Cat Food, Turkey & Chicken",4.35
"HOM0018","Power Radio (red)",21.81
"KIT0034","Azure Ladle",2.81
"PET0041","Gluten-free Cat Food, Pumpkin & Pumpkin",4.60
"PET0045","Gluten-free Cat Food, Salmon & Shrimp",4.32
"TOY0048","Electric Doll",10.18
"CMP0061","Network Printer",135.70
"DLI0066","Pickled Herring Sandwich",9.94
"TOY0085","Noah's Toy Soldier",11.96
"HOM0086","Power Crockpot (purple)",73.90
"PET0096","Wet Senior Cat Food, Turkey & Shrimp",3.11
"KIT0098","Scoop",1.90
"KIT0100","Super Coconut Fork",2.99
"TOY0108","Jigsaw Puzzle (Noah's Ark)",3.19
"PET0111","Gluten-free Cat Food, Salmon & Pumpkin",3.78
"DLI0130","Broccoli Seitan Meatball",10.30
"PET0148","Gluten-free Adult Cat Food, Salmon & Turkey",4.49
"KIT0159","Pewter Knife",23.58
"KIT0181","Azure Bowl",10.93
"KIT0186","Emerald Strainer",7.07
"TOY0187","Automatic Blocks",3.80
"DLI0194","Salted Cucumber Salad",6.87
"HOM0201","Super Timer",15.16
"KIT0209","Silver Knife",162.14
"KIT0225","Red Scoop",1.95
"KIT0230","Scale",13.94
"PET0240","Wet Adult Cat Food, Duck & Shrimp",3.05
"PET0247","Vegan Adult Cat Food, Pumpkin & Chicken",3.71
"KIT0262","Handmade Cereal Cup",9.38
"COL0263","Noah's Jersey (orange)",21.08
"KIT0265","Lead Ladle",2.65
"PET0268","Gluten-free Cat Food, Pumpkin & Tuna",4.80
"KIT0272","Fork",3.00
"KIT0273","Gold Fork",830.20
"TOY0275","Handmade Silly Bandz",7.32
"DLI0278","Kasha Knish",8.95
"HOM0284","Mechanical Radio",41.06
"COL0295","Noah's Jersey (red)",15.42
"KIT0296","Pearl Cup",4.51
"TOY0301","Tonka Blocks",5.02
"TOY0302","Handmade Dreidel",5.24
"PET0304","Gluten-free Senior Cat Food, Chicken & Turkey",4.24
"HOM0307","Handmade Crockpot (amber)",138.33
"TOY0309","Manual Dreidel",2.87
"KIT0322","Lead Knife",29.31
"KIT0349","Stone Crusher",6.86
"HOM0371","Handmade Timer",27.21
"PET0378","Wet Adult Cat Food, Duck & Tuna",3.13
"BKY0403","Poppyseed Linzer Cookie",4.87
"HOM0431","Super Widget (white)",4.97
"KIT0446","Mini Hamburger Scale",13.91
"BKY0455","Raspberry Rugelach",5.24
"COL0464","Noah's Action Figure (magenta)",23.93
"KIT0481","Mechanical Salad Cup",5.24
"PET0489","Lizard Food",2.91
"PET0501","Adult Snake Food",3.03
"TOY0515","Mechanical Toy Soldier",8.00
"PET0524","Ferret",0.49
"PET0547","Adult Ferret Food",1.35
"KIT0548","Mechanical Potato Strainer",7.51
"HOM0550","Automatic Mixer (green)",89.62
"TOY0586","Disney Yoyo",18.02
"KIT0598","Orange Pan",11.04
"KIT0600","Mauve Bowl",9.65
"DLI0611","Smoked Egg Sandwich",8.68
"KIT0619","Mechanical Hamburger Bowl",11.86
"KIT0635","Mechanical Soybean Spatula",3.69
"COL0638","Noah's Jewelry (purple)",43.98
"KIT0685","Super Onion Scale",15.48
"PET0691","Vegan Adult Cat Food, Shrimp & Salmon",4.46
"HOM0691","Mechanical Toaster",37.83
"DLI0706","Kasha Cabbage Roll",9.37
"PET0721","Gluten-free Cat Food, Chicken & Tuna",4.17
"KIT0722","Blue Crusher",6.65
"DLI0728","Pickled Salmon Sandwich",8.61
"COL0732","Noah's Gift Box (mauve)",5.01
"PET0745","Vegan Adult Cat Food, Chicken & Tuna",5.17
"KIT0755","Power Nut Cup",4.31
"COL0757","Noah's Bobblehead (puce)",9.04
"KIT0762","Sapphire Scoop",1.87
"PET0770","Dry Cat Food, Chicken & Pumpkin",3.16
"PET0773","Wet Adult Cat Food, Beef & Beef",2.77
"PET0786","Gluten-free Adult Cat Food, Tuna & Tuna",4.78
"PET0787","Gluten-free Adult Cat Food, Tuna & Shrimp",4.27
"HOM0811","Power Bicycle",132.02
"HOM0818","Handmade Blender",232.55
"COL0820","Noah's Lunchbox (blue)",20.96
"KIT0825","Handmade Coffee Spatula",9.30
